"","uterus","kidney","testis","pancreas","stomach","prostate","ovary","thyroid.gland","adrenal.gland","salivary.gland","spleen","esophagus"
"ENSG00000000003",2.5000000018879e-05,4.43999999882819e-05,5.79000000363381e-05,1.42999999846869e-05,2.0099999980539e-05,3.04000000273867e-05,5.59999999992005e-05,3.04000000273867e-05,2.15999999924933e-05,5.58000000080202e-05,9.90000000917409e-06,4.76000000306348e-05
"ENSG00000000419",3.44000000339386e-05,3.4299999996622e-05,3.80000000335284e-05,2.10999999855367e-05,2.95999999959829e-05,3.39999999966919e-05,3.16999999841059e-05,4.5400000014938e-05,5.01000000153145e-05,2.43999999809691e-05,2.95999999959829e-05,4.27999999987019e-05
"ENSG00000000457",7.80000000555902e-06,6.80000000459963e-06,7.59999999508625e-06,4.10000000264587e-06,7.69999999694191e-06,8.59999999517681e-06,8.19999999275497e-06,8.19999999275497e-06,6.60000000696225e-06,6.50000000534531e-06,7.40000000458393e-06,7.19999999285017e-06
"ENSG00000000971",1.41999999874753e-05,1.92999999996545e-05,1.88999999924606e-05,6.90000000417445e-06,4.7099999986021e-05,2.42000000010904e-05,2.42000000010904e-05,3.31000000170937e-05,4.52999999986615e-05,2.22999999975271e-05,1.13999999911678e-05,6.76000000090846e-05
"ENSG00000001036",3.46000000165094e-05,5.3899999976824e-05,1.90000000020637e-05,2.33999999779013e-05,4.75000000410294e-05,2.97999999947676e-05,3.44999999941792e-05,4.5400000014938e-05,4.73000000285555e-05,1.64999999918731e-05,2.93999999720986e-05,2.04999999973682e-05
"ENSG00000001084",1.9200000013106e-05,2.26999999899057e-05,1.25999999965892e-05,6.90000000417445e-06,2.95000000014833e-05,2.39000000028541e-05,6.19999999288691e-06,2.75999999958553e-05,1.87000000199576e-05,9.40000000866424e-06,3.4299999996622e-05,3.03000000347233e-05
"ENSG00000001561",4.70000000069567e-06,1.6699999994325e-05,8.90000000727681e-06,5.80000000583697e-06,1.13999999911678e-05,1.76000000075317e-05,2.29999999990683e-06,1.23999999953679e-05,1.47999999865405e-05,1.58999999882679e-05,1.22000000091368e-05,5.70000000429846e-06
"ENSG00000001630",1.42999999846869e-05,2.00000000154742e-05,4.83000000276355e-05,1.44999999921548e-05,2.97999999947676e-05,2.92999999761097e-05,1.55999999872676e-05,1.87999999885857e-05,3.86000000291743e-05,7.80000000555902e-06,8.99999999089575e-06,2.22999999975271e-05
"ENSG00000002330",1.98999999812267e-05,3.34000000144919e-05,2.21000000160238e-05,1.35999999884066e-05,4.43999999882819e-05,3.5199999961247e-05,1.76999999852543e-05,1.62000000170607e-05,2.03999999799944e-05,3.5199999961247e-05,1.90000000020637e-05,1.18999999892444e-05
"ENSG00000002549",3.64000000294141e-05,8.580000002989e-05,5.03999999482967e-05,1.43999999968418e-05,4.86999999759318e-05,3.56000000022235e-05,2.17000000075684e-05,4.56999999926498e-05,4.89999999967829e-05,4.88999999860808e-05,7.8400000056966e-05,4.22999999634711e-05
"ENSG00000002586",0.000171799999804097,4.40999999524938e-05,0.000178099999810028,8.79999999695717e-05,8.7699999926083e-05,0.00018729999983817,0.000198699999949757,5.47999999388815e-05,6.40000000023745e-05,5.94000000025722e-05,0.000118800000097061,0.000151099999882046
"ENSG00000002726",1.09999999959924e-06,0.000158999999882679,2.29999999990683e-06,NA,1.8100000005452e-05,4.19999999615196e-06,NA,NA,NA,NA,NA,1e-06
"ENSG00000002822",9.6999999940534e-06,6.99999999977021e-06,2.39000000028541e-05,3.30000000092788e-06,8.19999999275497e-06,8.3999999988031e-06,7.80000000555902e-06,1.02000000055917e-05,5.4000000022012e-06,7.19999999285017e-06,2.00000000154742e-05,9.6999999940534e-06
"ENSG00000002834",3.88999999708262e-05,4.32999999647688e-05,2.10999999855367e-05,1.98999999812267e-05,7.57000000871402e-05,2.21000000160238e-05,4.13999999884751e-05,2.31000000057368e-05,2.50999999721985e-05,2.58999999951544e-05,6.13999999800419e-05,2.98999999776639e-05
