"","uterus","kidney","testis","pancreas","stomach","prostate","ovary","thyroid.gland","adrenal.gland","salivary.gland","spleen","esophagus"
"ENSG00000014641",8.07000000516445e-05,0.000213199999825955,6.96000000624113e-05,3.16999999841059e-05,0.000119199999889055,0.000116699999987809,6.84999999223312e-05,0.000116100000069887,0.000205299999824813,8.68999999102242e-05,6.32999999974704e-05,0.000115700000012854
"ENSG00000007392",5.98999999463043e-05,2.37999999969031e-05,4.46999999864204e-05,1.90999999891051e-05,3.28000000217754e-05,4.70000000069568e-05,4.70000000069568e-05,4.88999999860808e-05,3.99999999697935e-05,3.22999999753747e-05,5.18000000303871e-05,2.15999999924933e-05
"ENSG00000007402",1.60000000126762e-06,1.60000000126762e-06,7.89999999471675e-06,1.60000000126762e-06,3.89999999976203e-06,3.0000000019365e-06,1.69999999851929e-06,1.60000000126762e-06,NA,1.09999999959924e-06,1e-06,NA
"ENSG00000006712",2.67999999982235e-05,2.8599999991502e-05,5.0699999961086e-05,1.22000000091368e-05,2.22999999975271e-05,3.0699999966268e-05,3.6100000007842e-05,2.83000000309987e-05,2.98999999776639e-05,1.97999999880765e-05,2.89000000162004e-05,2.25999999923295e-05
"ENSG00000007202",2.66000000225967e-05,4.01000000350699e-05,3.2399999984586e-05,1.19999999986841e-05,2.42000000010904e-05,2.43000000224756e-05,2.34999999852962e-05,3.9799999993247e-05,3.22000000225521e-05,2.23999999827646e-05,3.2399999984586e-05,3.25999999949002e-05
"ENSG00000006125",3.94000000158242e-05,4.78999999542762e-05,0.000107199999911941,1.41999999874753e-05,4.06999999788935e-05,3.3599999969839e-05,5.18000000303871e-05,6.28000000380021e-05,3.64999999616359e-05,2.01999999792265e-05,3.62000000389123e-05,2.6000000001747e-05
"ENSG00000003056",6.28999999355105e-05,5.87999999896915e-05,5.73000000043025e-05,2.21999999769645e-05,5.83000000323501e-05,5.21999999997281e-05,4.76999999955942e-05,8.3700000001299e-05,6.04000000526915e-05,5.06000000186651e-05,0.000105200000044154,5.03999999482967e-05
"ENSG00000011478",3.30000000092788e-06,2.90000000067472e-06,2.5000000018879e-06,2.10000000128661e-06,4.89999999967829e-06,6.19999999288691e-06,4.19999999615196e-06,6.19999999288691e-06,4.10000000264587e-06,3.69999999942923e-06,4.89999999967829e-06,2.29999999990683e-06
"ENSG00000004766",1.07000000077557e-05,1.17999999916824e-05,1.17999999916824e-05,3.60000000192903e-06,1.03999999928451e-05,8.90000000727681e-06,9.59999999912535e-06,1.27000000012879e-05,1.05999999935376e-05,6.70000000461545e-06,9.30000000955205e-06,1.09000000014902e-05
"ENSG00000018699",1.03999999928451e-05,6.29999999342021e-06,1.28999999911113e-05,3.49999999717711e-06,6.80000000459963e-06,6.80000000459963e-06,1.12000000085057e-05,2.27999999999762e-05,6.99999999977021e-06,6.80000000459963e-06,8.59999999517681e-06,1.87999999885857e-05
"ENSG00000004779",3.62999999969816e-05,9.14000000560169e-05,3.5399999997898e-05,2.40000000159372e-05,5.58000000080202e-05,5.40999999867247e-05,2.61999999807105e-05,3.65999999667612e-05,7.41999999523277e-05,4.22999999634711e-05,3.6100000007842e-05,4.13000000326752e-05
"ENSG00000001084",1.9200000013106e-05,2.26999999899057e-05,1.25999999965892e-05,6.90000000417445e-06,2.95000000014833e-05,2.39000000028541e-05,6.19999999288691e-06,2.75999999958553e-05,1.87000000199576e-05,9.40000000866424e-06,3.4299999996622e-05,3.03000000347233e-05
"ENSG00000004478",4.65000000117827e-05,6.02999999805406e-05,7.85000000460464e-05,3.04000000273867e-05,3.94000000158242e-05,5.8699999966532e-05,4.65000000117827e-05,5.98000000015958e-05,4.10000000264586e-05,4.72000000397681e-05,1.969999999267e-05,5.87999999896915e-05
"ENSG00000008311",2.1200000003478e-05,1.76000000075317e-05,7.40000000458393e-06,9.09999999327196e-06,4.30000000416256e-06,1.40000000103724e-05,3.34000000144919e-05,1.07999999878906e-05,1.3300000001008e-05,5.90000000486156e-06,7.69999999694191e-06,9.09999999327196e-06
"ENSG00000010932",5.20000000437271e-06,0.000189900000114992,2.79999999779363e-06,2.40000000159372e-06,NA,1.69999999851929e-06,5.90000000486156e-06,1.69999999851929e-06,7.19999999285017e-06,3.80000000335284e-06,NA,3.30000000092788e-06
"ENSG00000016864",5.28999999957141e-05,4.52000000196308e-05,7.21000000465794e-05,1.77999999873397e-05,3.4299999996622e-05,4.28999999817528e-05,6.76000000090846e-05,9.09999999327196e-05,5.76999999793096e-05,3.39999999966919e-05,3.3599999969839e-05,2.58999999951544e-05
"ENSG00000010704",6.40000000023745e-06,6.60000000696225e-06,2.6000000001747e-06,3.39999999966919e-06,8.19999999275497e-06,7.19999999285017e-06,7.19999999285017e-06,1.14999999906365e-05,7.89999999471675e-06,5.90000000486156e-06,9.30000000955205e-06,4.99999999613144e-06
"ENSG00000018625",4.39999999507425e-06,3.80000000335284e-06,6.50000000534531e-06,NA,1.19999999986841e-06,3.18000000011399e-05,1.42999999846869e-05,NA,4.79999999584886e-06,1.90000000020637e-06,1.90000000020637e-06,3.80000000335284e-05
"ENSG00000014919",1.8399999999596e-05,2.72999999974381e-05,1.62000000170607e-05,7.69999999694191e-06,1.94000000031168e-05,1.90000000020637e-05,2.45999999941442e-05,2.33999999779013e-05,2.62999999703413e-05,1.19999999986841e-05,1.9599999983912e-05,1.73999999886776e-05
"ENSG00000009307",0.000203600000157181,0.000168799999887425,0.000230900000044035,9.89000000917326e-05,0.000158500000162856,0.000195900000002374,0.00022509999999973,0.000242699999814502,0.000158000000016581,0.000158300000050171,0.000152399999998743,0.000224800000053303
"ENSG00000005020",8.90000000727681e-06,2.4899999994511e-05,3.22000000225521e-05,4.39999999507425e-06,1.41999999874753e-05,9.30000000955205e-06,2.23999999827646e-05,1.64999999918731e-05,2.61999999807105e-05,4.60000000337273e-06,3.71000000328851e-05,3.81000000284574e-05
