"","uterus","kidney","testis","pancreas","stomach","prostate","ovary","thyroid.gland","adrenal.gland","salivary.gland","spleen","esophagus"
"ENSG00000014641",0.000596447418167434,0.00186066836569684,0.00129877240020643,0.0016577885433999,0.00114683382327819,0.00130631131609789,0.00164120888712397,0.000985286812396592,0.00192808900918865,0.00145536242506672,0.00119030566079936,0.00124407187498265
"ENSG00000007392",6.39579473261634e-07,NA,1.05247722566079e-05,7.66802432667556e-06,1.22883837968997e-05,NA,2.83008500319991e-05,7.33419856824416e-06,3.0049202264718e-06,NA,4.62056199888502e-06,3.48150069333001e-06
"ENSG00000007402",NA,NA,2.86252654698125e-05,6.52576550623285e-05,NA,2.37998215090047e-07,4.38137091571022e-06,NA,NA,NA,NA,6.12641354225903e-07
"ENSG00000006712",NA,NA,7.76989131597348e-07,NA,NA,NA,1.51821308446478e-07,NA,NA,5.10802510413208e-07,2.19061336002886e-06,4.700931620393e-07
"ENSG00000007202",NA,5.85814114115782e-07,6.52885827091059e-07,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000006125",1.90231202411693e-05,8.53482514407287e-05,0.000425126770867315,4.28898893677127e-05,0.000131802664205831,7.26404908233069e-05,0.000151103004206357,5.39912340461019e-05,0.000160097339917658,8.27720047496604e-05,0.00017920713467606,3.19638405099717e-05
"ENSG00000003056",1.10527418582926e-06,8.74382262416026e-06,5.05342049063189e-06,NA,1.60568447759961e-05,3.27608649913818e-06,2.38496495587465e-05,4.0988311965594e-07,NA,7.56010158238041e-06,1.73238983982025e-05,6.90419625649596e-06
"ENSG00000011478",NA,NA,1.31732207934763e-06,NA,3.18248955526316e-06,NA,NA,NA,NA,NA,NA,NA
"ENSG00000004766",NA,5.70896211482705e-07,8.88410056560871e-07,NA,4.2955759579895e-06,NA,NA,NA,4.09142418487424e-07,5.87149508943599e-06,8.06153995876385e-07,2.07087245248601e-07
"ENSG00000018699",NA,NA,1.34895217279508e-05,NA,1.41837611410414e-06,NA,1.79763381942307e-06,NA,9.65364370692529e-07,1.96599125183701e-06,NA,NA
"ENSG00000004779",NA,5.9871474227666e-05,1.64817340095636e-05,6.66532015965502e-06,NA,4.05180095065211e-05,8.08663231592153e-05,NA,7.19874306242922e-06,4.19019494894434e-05,3.74890654325537e-06,3.49663052847793e-06
"ENSG00000001084",1.69358794225575e-05,1.96716948976523e-05,1.01258962432505e-05,2.68792384496902e-05,0.000125596537862379,3.87480661959371e-05,1.27456539493695e-05,1.07715281312254e-05,1.63446962854391e-05,4.26856347585201e-05,0.000111160900171681,0.000101283121350961
"ENSG00000004478",1.90005861180212e-05,0.000103999023139601,3.93476385248499e-05,3.3578586775328e-05,0.000456168443855777,7.61312257143542e-05,0.000513437863991916,5.41428809603105e-05,6.40189569530259e-05,0.000230875186888242,6.66083029777361e-05,0.000484423207580325
"ENSG00000008311",3.09247840783388e-07,5.10453458902136e-05,3.11973510588228e-05,4.10244604536959e-07,3.30409034583663e-06,2.52486032502651e-06,1.826249718501e-05,1.72520708890133e-06,3.22590880562696e-06,1.83242007911472e-06,1.29896438275078e-06,1.28713506555634e-05
"ENSG00000010932",NA,0.000306933324921661,NA,NA,NA,NA,NA,NA,5.4862904135568e-07,2.66791119247412e-07,NA,NA
"ENSG00000016864",NA,NA,2.18888838627845e-06,NA,1.74372878971774e-06,NA,NA,NA,NA,NA,NA,NA
"ENSG00000010704",NA,NA,NA,NA,7.34980765982686e-07,NA,NA,NA,NA,5.8573621163845e-07,6.81565721488627e-06,NA
