"","uterus","kidney","testis","pancreas","stomach","prostate","ovary","thyroid.gland","adrenal.gland","salivary.gland","spleen","esophagus"
"ENSG00000000003",NA,NA,NA,NA,9.15783111113745e-07,NA,NA,NA,NA,9.02726211937836e-06,NA,NA
"ENSG00000000419",9.96648441566619e-06,1.89426495657423e-05,4.2579067306916e-05,1.57556730472874e-06,3.2823415925656e-05,2.11975312897024e-05,3.91678389135085e-05,3.930635163178e-06,1.01650016624175e-05,4.04857437533991e-05,5.0922131960495e-06,1.60740489669251e-05
"ENSG00000000457",NA,NA,6.75298501478733e-07,4.70420651451069e-07,3.7455494832362e-06,NA,NA,NA,3.05991816649788e-07,7.89425293045308e-06,NA,NA
"ENSG00000000971",3.63351614284254e-05,0.000335833544367867,0.000184807671016561,0.000295626093833944,0.000156192191339932,0.000184892158672143,0.000203382541011182,7.74928251103322e-05,0.000104985898885793,0.000130676590284218,0.000115057695696878,0.000539135217714202
"ENSG00000001036",1.68163338229982e-05,9.71196963750363e-07,4.78499742057569e-05,NA,3.80239126841634e-06,NA,NA,NA,2.01568699594579e-05,1.0486146285894e-06,1.54735155607765e-05,NA
"ENSG00000001084",1.69358794225575e-05,1.96716948976523e-05,1.01258962432505e-05,2.68792384496902e-05,0.000125596537862379,3.87480661959371e-05,1.27456539493695e-05,1.07715281312254e-05,1.63446962854391e-05,4.26856347585201e-05,0.000111160900171681,0.000101283121350961
"ENSG00000001561",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.11369989582873e-06,3.5854139426743e-06,NA
"ENSG00000001630",3.38291993283431e-06,1.16182819330288e-06,7.01428845819871e-05,NA,3.49431028100118e-05,3.50688189556885e-06,NA,NA,0.000140218503262071,4.08330570987686e-06,NA,NA
"ENSG00000002330",1.74502543702684e-06,5.07125690446114e-06,7.30393278640511e-06,NA,9.45739044283126e-06,1.2926020310831e-06,2.79992597802962e-06,NA,6.4181643812547e-06,1.64844644394631e-05,NA,7.39330697897886e-06
"ENSG00000002549",6.74570552956205e-05,0.000573624679433398,0.00026524797437507,0.000164224553210743,0.000348807224928141,9.61337593704549e-05,0.000386098687241953,3.72690125340013e-05,0.000198384819650337,0.000280333881951012,0.00145466584873176,0.000343389267239577
"ENSG00000002586",NA,NA,3.75957510374053e-06,5.23527580336006e-06,NA,0.000229579910900708,0.000305249923657076,NA,NA,1.4502440789243e-05,4.04166418603495e-05,0.000113999149694514
"ENSG00000002726",NA,0.000388285409963402,NA,NA,4.78275183494607e-05,NA,NA,NA,NA,NA,NA,NA
"ENSG00000002822",NA,NA,3.4600834484331e-06,NA,1.88501545811999e-06,NA,2.75569473836722e-06,4.55351832842849e-07,1.55080041302169e-06,2.78094478413112e-06,1.15509145741108e-06,NA
"ENSG00000002834",5.54802357709818e-05,0.000119568441355754,0.000387565435376087,0.000152433143917441,0.000488026467438249,0.000269963309779805,0.000594106506933668,0.000131530011171021,0.00023478607681997,0.000312187867394095,0.000482706216625159,0.000147970269570643
